"Comment","Designator","Footprint","LCSC"
"TCMT1101","U1","SOP-4_4.4x2.6mm_P1.27mm","C32565"
"LP5907MFX-1.2","U7","Texas_X2SON-4_1x1mm_P0.65mm","C379350"
"D","D1,D4,D3","D_SOD-323","C2128"
"PCM5102","U4","TSSOP-20_4.4x6.5mm_P0.65mm","C107671"
"SW_Push","SW1","SW_Push_SPST_NO_Alps_SKRK","C720477"
"KLM8G1GETF","U3","KLM8G1GETF_ALL_PADS","C499918"
"10118192-0001LF","J1","USB-MICRO-B_C40942","C40942"
"ESP32-WROVER-E","U5","XCVR_ESP32-WROVER-E","C529590"
"LED","D2","LED_0603_1608Metric","C72041"
"LM1117-3.3","U2","SOT-223-3_TabPin2","C6186"
"1K","R13","R_0402_1005Metric","C11702"
"220","R1","R_0402_1005Metric","C25091"
"300","R2,R14","R_0402_1005Metric","C25774"
"470","R9,R10,R12","R_0402_1005Metric","C25117"
"10k","R8,R7,R6,R5,R4,R3","R_0402_1005Metric","C25744"
"12k","R11","R_0402_1005Metric","C25752"
"1nF","C13,C4","C_0402_1005Metric","C1523"
"2.2nf","C15,C14","C_0402_1005Metric","C1531"
"220nf","C8","C_0402_1005Metric","C16772"
"0.1uF","C9,C11,C10,C7","C_0402_1005Metric","C1525"
"1uF","C18,C17,C3","C_0402_1005Metric","C52923"
"2.2uF","C6,C5","C_0402_1005Metric","C12530"
"10uF","C12,C16,C1,C2","C_0402_1005Metric","C15525"
