"Designator","Val","Package","Mid X","Mid Y","Rotation","Layer"
"C1","10uf","C_0402_1005Metric","148.240","-59.300","0","top"
"C2","10uf","C_0402_1005Metric","135.560","-47.092","0","top"
"C3","1uf","C_0402_1005Metric","135.595","-43.688","180","top"
"C4","1nF","C_0402_1005Metric","154.910","-19.190","0","top"
"C5","2.2uF","C_0402_1005Metric","135.549","-53.975","0","top"
"C6","2.2uF","C_0402_1005Metric","134.645","-63.678","-90","top"
"C7","0.1uf","C_0402_1005Metric","154.910","-18.200","180","top"
"C8","220nf","C_0402_1005Metric","151.384","-52.197","180","top"
"C9","0.1uF","C_0402_1005Metric","133.579","-63.678","-90","top"
"C10","0.1uf","C_0402_1005Metric","135.572","-48.260","0","top"
"C11","0.1uF","C_0402_1005Metric","135.572","-49.403","0","top"
"C12","10uF","C_0402_1005Metric","151.384","-51.054","180","top"
"C13","1nF","C_0402_1005Metric","131.950","-23.660","180","top"
"C14","2.2nf","C_0402_1005Metric","135.572","-50.546","0","top"
"C15","2.2nf","C_0402_1005Metric","135.572","-52.832","0","top"
"C16","10uf","C_0402_1005Metric","154.905","-21.170","180","top"
"C17","1uF","C_0402_1005Metric","140.380","-59.370","0","top"
"C18","1uF","C_0402_1005Metric","144.210","-59.300","0","top"
"D1","D","D_SOD-323","139.600","-56.950","-90","top"
"D2","LED","LED_0603_1608Metric","155.048","-23.420","0","top"
"D3","D","D_SOD-323","154.940","-25.146","180","top"
"D4","D","D_SOD-323","136.843","-63.691","180","top"
"J1","10118192-0001LF","USB-MICRO-B_C40942","144.260","-61.040","0","top"
"R1","220","R_0402_1005Metric","151.361","-54.483","0","top"
"R2","300","R_0402_1005Metric","151.384","-53.340","180","top"
"R3","10k","R_0402_1005Metric","151.384","-47.625","0","top"
"R4","10k","R_0402_1005Metric","151.384","-48.768","0","top"
"R5","10k","R_0402_1005Metric","151.384","-49.911","0","top"
"R6","10k","R_0402_1005Metric","151.384","-46.482","0","top"
"R7","10k","R_0402_1005Metric","135.595","-44.831","180","top"
"R8","10k","R_0402_1005Metric","135.572","-45.974","180","top"
"R9","470","R_0402_1005Metric","135.572","-51.689","0","top"
"R10","470","R_0402_1005Metric","132.029","-63.703","-90","top"
"R11","12k","R_0402_1005Metric","154.910","-20.180","180","top"
"R12","470r","R_0402_1005Metric","131.950","-24.660","0","top"
"R13","100R","R_0402_1005Metric","154.900","-22.160","0","top"
"R14","300R","R_0402_1005Metric","131.950","-25.660","180","top"
"SW1","SW_Push","SW_Push_SPST_NO_Alps_SKRK","131.980","-20.340","90","top"
"U1","TCMT1101","SOP-4_4.4x2.6mm_P1.27mm","144.938","-56.925","0","top"
"U2","LM1117-3.3","SOT-223-3_TabPin2","152.950","-59.920","90","top"
"U3","KLM8G1GETF","KLM8G1GETF_ALL_PADS","143.480","-49.240","-90","top"
"U4","PCM5102","TSSOP-20_4.4x6.5mm_P0.65mm","134.470","-58.990","-90","top"
"U5","ESP32-WROVER-B_(16MB)","XCVR_ESP32-WROVER-B_(16MB)","143.500","-26.900","0","top"
"U7","LP5907MFX-1.2","Texas_X2SON-4_1x1mm_P0.65mm","142.290","-59.300","0","top"
