"Comment","Designator","Footprint","LCSC"
"10uf","C1,C2,C16","Capacitor_SMD:C_0402_1005Metric","C15525"
"0.1uf","C7,C10","Capacitor_SMD:C_0402_1005Metric","C1525"
"10uF","C12","Capacitor_SMD:C_0402_1005Metric","C15525"
"2.2nf","C14,C15","Capacitor_SMD:C_0402_1005Metric","C1531"
"1uf","C3","Capacitor_SMD:C_0402_1005Metric","C52923"
"1nF","C4,C13","Capacitor_SMD:C_0402_1005Metric","C1523"
"2.2uF","C5,C6","Capacitor_SMD:C_0402_1005Metric","C12530"
"220nf","C8","Capacitor_SMD:C_0402_1005Metric","C16772"
"0.1uF","C9,C11","Capacitor_SMD:C_0402_1005Metric","C1525"
"D","D1,D3,D4","Diode_SMD:D_SOD-323","C2128"
"LED","D2","LED_SMD:LED_0603_1608Metric","C72041"
"10118192-0001LF","J1","Waver:USB-MICRO-B_C40942","C132564"
"Conn_01x11","J2","Waver:CAST_HEADER_11_LEFT_2",""
"Conn_01x11","J3","Waver:CAST_HEADER_11_RIGHT_2",""
"220","R1","Resistor_SMD:R_0402_1005Metric","C25091"
"12k","R11","Resistor_SMD:R_0402_1005Metric","C25752"
"470r","R12,R13","Resistor_SMD:R_0402_1005Metric","C25117"
"280","R2","Resistor_SMD:R_0402_1005Metric","C423200"
"10k","R3,R4,R5,R6,R7,R8","Resistor_SMD:R_0402_1005Metric","C25744"
"470","R9,R10","Resistor_SMD:R_0402_1005Metric","C25117"
"SW_Push","SW1","Button_Switch_SMD:SW_Push_SPST_NO_Alps_SKRK","C720477"
"TestPoint","TP1","TestPoint:TestPoint_Pad_D1.5mm",""
"EL3H7","U1","Package_SO:SOP-4_4.4x2.6mm_P1.27mm","C32565"
"LM1117-3.3","U2","Package_TO_SOT_SMD:SOT-223-3_TabPin2","C23984"
"KLM8G1GETF","U3","Waver:KLM8G1GETF_ALL_PADS","C499918"
"PCM5100","U4","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","C1540069"
"ESP32-WROVER-B_(16MB)","U5","Waver:XCVR_ESP32-WROVER-B_(16MB)","C529591"
